2023.05.09 17:23:13 [8078,37fc] | disconnect 
2023.05.09 17:23:13 [8078,b348] | thread exit 
2023.05.09 17:23:13 [8078,37fc] | portclose 
2023.05.12 21:26:32 [15dc,4c94] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.12 21:26:32 [15dc,4c94] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.12 21:26:32 [15dc,4c94] | protocol ctor 
2023.05.12 21:35:40 [15dc,2840] | protocol ctor 
2023.05.12 21:45:29 [ed90,d254] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.12 21:45:29 [ed90,d254] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.12 21:45:29 [ed90,d254] | protocol ctor 
2023.05.12 21:58:23 [42c4,fd94] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.12 21:58:23 [42c4,fd94] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.12 21:58:23 [42c4,fd94] | protocol ctor 
2023.05.12 22:26:54 [10638,d524] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.12 22:26:54 [10638,d524] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.12 22:26:54 [10638,d524] | protocol ctor 
2023.05.12 22:28:23 [10638,a118] | protocol ctor 
2023.05.12 22:31:18 [10638,3a2c] | protocol ctor 
2023.05.12 22:36:09 [10638,3a2c] | protocol ctor 
2023.05.12 22:44:43 [6c54,556c] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.12 22:44:43 [6c54,556c] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.12 22:44:43 [6c54,556c] | protocol ctor 
2023.05.12 22:45:49 [6c54,556c] | disconnect 
2023.05.12 22:45:49 [6c54,556c] | is stopped 
2023.05.12 22:45:49 [6c54,556c] | SSL connect: 192.168.2.12:4050 
2023.05.12 22:45:50 [6c54,556c] | start thread 
2023.05.12 22:45:50 [6c54,556c] | payment 1200 
2023.05.12 22:45:50 [6c54,556c] | displayevent 0 
2023.05.12 22:45:50 [6c54,556c] | displayevent 1 
2023.05.12 22:45:57 [6c54,556c] | displayevent 0 
2023.05.12 22:46:02 [6c54,556c] | printer event 
2023.05.12 22:46:03 [6c54,556c] | disconnect 
2023.05.12 22:46:03 [6c54,d574] | thread exit 
2023.05.12 22:46:03 [6c54,556c] | portclose 
2023.05.12 22:47:27 [6c54,6e28] | protocol ctor 
2023.05.12 22:47:27 [6c54,6e28] | disconnect 
2023.05.12 22:47:27 [6c54,6e28] | is stopped 
2023.05.12 22:47:28 [6c54,6e28] | SSL connect: 192.168.2.12:4050 
2023.05.12 22:47:28 [6c54,6e28] | start thread 
2023.05.12 22:47:28 [6c54,6e28] | cancellation 
2023.05.12 22:47:28 [6c54,6e28] | displayevent 0 
2023.05.12 22:47:31 [6c54,6e28] | disconnect 
2023.05.12 22:47:31 [6c54,35a4] | thread exit 
2023.05.12 22:47:31 [6c54,6e28] | portclose 
2023.05.12 22:48:32 [6c54,f2cc] | protocol ctor 
2023.05.12 22:48:32 [6c54,f2cc] | disconnect 
2023.05.12 22:48:32 [6c54,f2cc] | is stopped 
2023.05.12 22:48:32 [6c54,f2cc] | SSL connect: 192.168.2.12:4050 
2023.05.12 22:48:32 [6c54,f2cc] | start thread 
2023.05.12 22:48:32 [6c54,f2cc] | payment 1000 
2023.05.12 22:48:33 [6c54,f2cc] | displayevent 0 
2023.05.12 22:48:33 [6c54,f2cc] | displayevent 1 
2023.05.12 22:48:49 [6c54,f2cc] | displayevent 0 
2023.05.12 22:48:54 [6c54,f2cc] | printer event 
2023.05.12 22:48:55 [6c54,f2cc] | disconnect 
2023.05.12 22:48:55 [6c54,f6e0] | thread exit 
2023.05.12 22:48:55 [6c54,f2cc] | portclose 
2023.05.12 23:49:01 [a96c,c7e0] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.12 23:49:01 [a96c,c7e0] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.12 23:49:01 [a96c,c7e0] | protocol ctor 
2023.05.12 23:49:01 [a96c,c7e0] | disconnect 
2023.05.12 23:49:01 [a96c,c7e0] | is stopped 
2023.05.12 23:49:01 [a96c,c7e0] | SSL connect: 192.168.2.12:4050 
2023.05.12 23:49:02 [a96c,c7e0] | start thread 
2023.05.12 23:49:02 [a96c,c7e0] | cancellation 
2023.05.12 23:49:02 [a96c,c7e0] | displayevent 0 
2023.05.12 23:49:05 [a96c,c7e0] | disconnect 
2023.05.12 23:49:05 [a96c,7bc] | thread exit 
2023.05.12 23:49:05 [a96c,c7e0] | portclose 
2023.05.12 23:50:03 [a96c,91e8] | protocol ctor 
2023.05.12 23:50:03 [a96c,91e8] | disconnect 
2023.05.12 23:50:03 [a96c,91e8] | is stopped 
2023.05.12 23:50:03 [a96c,91e8] | SSL connect: 192.168.2.12:4050 
2023.05.12 23:50:03 [a96c,91e8] | start thread 
2023.05.12 23:50:03 [a96c,91e8] | payment 1000 
2023.05.12 23:50:04 [a96c,91e8] | displayevent 0 
2023.05.12 23:50:04 [a96c,91e8] | displayevent 1 
2023.05.12 23:50:16 [a96c,91e8] | displayevent 0 
2023.05.12 23:50:21 [a96c,91e8] | printer event 
2023.05.12 23:50:22 [a96c,91e8] | disconnect 
2023.05.12 23:50:22 [a96c,456c] | thread exit 
2023.05.12 23:50:22 [a96c,91e8] | portclose 
2023.05.12 23:50:41 [a96c,91e8] | protocol ctor 
2023.05.12 23:50:41 [a96c,91e8] | disconnect 
2023.05.12 23:50:41 [a96c,91e8] | is stopped 
2023.05.12 23:50:41 [a96c,91e8] | SSL connect: 192.168.2.12:4050 
2023.05.12 23:50:42 [a96c,91e8] | start thread 
2023.05.12 23:50:42 [a96c,91e8] | payment 1200 
2023.05.12 23:50:42 [a96c,91e8] | displayevent 0 
2023.05.12 23:50:42 [a96c,91e8] | displayevent 1 
2023.05.12 23:50:53 [a96c,a794] | protocol ctor 
2023.05.12 23:50:53 [a96c,a794] | disconnect 
2023.05.12 23:50:53 [a96c,a794] | is stopped 
2023.05.12 23:50:53 [a96c,a794] | SSL connect: 192.168.2.12:4050 
2023.05.12 23:51:14 [a96c,91e8] | disconnect 
2023.05.12 23:51:14 [a96c,8c70] | thread exit 
2023.05.12 23:51:14 [a96c,91e8] | portclose 
2023.05.12 23:51:14 [a96c,a794] | start thread 
2023.05.12 23:51:14 [a96c,a794] | cancellation 
2023.05.12 23:51:15 [a96c,a794] | displayevent 0 
2023.05.12 23:51:17 [a96c,a794] | disconnect 
2023.05.12 23:51:17 [a96c,fd90] | thread exit 
2023.05.12 23:51:17 [a96c,a794] | portclose 
2023.05.13 00:02:27 [6ccc,1e50] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.13 00:02:27 [6ccc,1e50] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.13 00:02:27 [6ccc,1e50] | protocol ctor 
2023.05.13 00:02:27 [6ccc,1e50] | disconnect 
2023.05.13 00:02:27 [6ccc,1e50] | is stopped 
2023.05.13 00:02:27 [6ccc,1e50] | SSL connect: 192.168.2.12:4050 
2023.05.13 00:02:28 [6ccc,1e50] | start thread 
2023.05.13 00:02:28 [6ccc,1e50] | payment 1000 
2023.05.13 00:02:28 [6ccc,1e50] | displayevent 0 
2023.05.13 00:02:29 [6ccc,1e50] | displayevent 1 
2023.05.13 00:03:01 [6ccc,1e50] | disconnect 
2023.05.13 00:03:01 [6ccc,6b20] | thread exit 
2023.05.13 00:03:01 [6ccc,1e50] | portclose 
